date,BL15,trend,season,resid
2016/1/1,103881,93377.00924,10892.30099,-388.3102287
2016/1/2,106339,94001.85264,13025.0185,-687.8711445
2016/1/3,82898,94613.73236,-11881.55626,165.8238952
2016/1/4,87452,95214.32916,-7775.65223,13.32307061
2016/1/5,93613,95806.43754,-3445.687259,1252.24972
2016/1/6,94222,96393.74836,-2714.550377,542.8020179
2016/1/7,98105,96977.43283,1151.68403,-24.11686483
2016/1/8,108473,97527.65673,11445.81959,-500.4763209
2016/1/9,111765,97949.06224,13067.40532,748.5324415
2016/1/10,87052,98394.63993,-11673.2288,330.5888689
2016/1/11,91495,98881.04724,-7524.93136,138.884117
2016/1/12,93719,99389.04192,-3438.209408,-2231.832508
2016/1/13,96850,99889.04859,-2484.586558,-554.4620365
2016/1/14,100578,100389.9496,72.07855916,115.9718763
2016/1/15,115404,100919.0526,11616.14658,2868.800819
2016/1/16,100033,101510.7083,13083.90812,-14561.61639
2016/1/17,87145,102123.8415,-11357.35853,-3621.482993
2016/1/18,95532,102665.525,-7213.179882,79.65487704
2016/1/19,99876,103210.3184,-3396.707487,62.38908686
2016/1/20,109131,103775.5073,-2197.924919,7553.417647
2016/1/21,112695,104405.9336,-1003.728095,9292.794543
2016/1/22,126019,105184.2283,11620.48576,9214.285961
2016/1/23,124659,106000.2091,13052.99516,5605.795702
2016/1/24,95001,106669.5075,-11091.87603,-576.6315101
2016/1/25,99707,107354.962,-6859.333917,-788.6280569
2016/1/26,105744,108777.829,-3120.434121,86.60508506
2016/1/27,107946,110404.4392,-1965.28107,-493.1581389
2016/1/28,110141,111988.1229,-2237.792518,390.6696341
2016/1/29,119912,113524.0139,11020.82737,-4632.84129
2016/1/30,128117,114977.0827,12443.79668,696.1206296
2016/1/31,107715,116209.4124,-9196.288338,701.8759205
2016/2/1,112458,117212.7625,-5877.836216,1123.073682
2016/2/2,116521,117929.4125,-2639.549107,1231.136614
2016/2/3,119064,118281.5891,-915.7053704,1698.116318
2016/2/4,123246,118352.8498,-2546.577609,7439.727783
2016/2/5,126631,116419.1241,9501.075458,710.8004243
2016/2/6,89967,112075.8375,11194.20427,-33303.04175
2016/2/7,44691,109440.6,-8422.57732,-56327.02266
2016/2/8,73331,107238.1182,-7720.543827,-26186.5744
2016/2/9,73452,104675.9379,-2936.481213,-28287.45668
2016/2/10,88208,101630.2987,-260.199307,-13162.09938
2016/2/11,94638,97557.04985,-2040.517266,-878.5325812
2016/2/12,106566,96865.68075,10206.42155,-506.1022913
2016/2/13,108352,98382.00603,11720.35026,-1750.356285
2016/2/14,97661,99790.55278,-7378.701646,5249.148861
2016/2/15,97222,101052.8087,-9011.819242,5181.010521
2016/2/16,100502,102067.1961,-3974.896717,2409.700608
2016/2/17,104409,102956.4594,-311.1516205,1763.692268
2016/2/18,104207,103856.6004,-1703.625029,2054.024672
2016/2/19,115863,104237.7285,11014.22174,611.0497504
2016/2/20,123621,103953.8515,12604.34187,7062.806619
2016/2/21,97229,103528.4801,-6475.402037,175.9219112
2016/2/22,92460,103090.7353,-10785.51109,154.775809
2016/2/23,96374,102612.2578,-5258.730544,-979.5272817
2016/2/24,100470,102100.1574,-1480.927167,-149.2302375
2016/2/25,100646,101494.1932,-1023.833643,175.6404885
2016/2/26,113592,100764.3976,11739.74775,1087.85466
2016/2/27,115929,100013.9081,15212.70156,702.3903124
2016/2/28,106302,99345.30596,-7191.365308,14148.05935
2016/2/29,93830,98788.65221,-10910.61076,5951.958553
2016/3/1,90085,98278.25459,-6230.802142,-1962.452444
2016/3/2,93812,97764.26357,-3595.718873,-356.5446959
2016/3/3,94798,97336.76521,-327.0450285,-2211.72018
2016/3/4,108523,97342.85295,12139.71878,-959.5717361
2016/3/5,115202,97841.58206,17358.32287,2.095064056
2016/3/6,90045,98507.01354,-7601.585183,-860.4283568
2016/3/7,87976,99215.47263,-10875.36431,-364.1083273
2016/3/8,94569,99943.8484,-6658.737803,1283.889405
2016/3/9,94664,100632.4339,-5239.729339,-728.7045666
2016/3/10,102685,101205.2433,379.809874,1099.946847
2016/3/11,115176,101667.2686,11883.64385,1625.087522
2016/3/12,120843,102021.5082,18399.53519,421.9566078
2016/3/13,95132,102229.6628,-8022.401135,924.7383002
2016/3/14,91437,102309.1233,-10641.02081,-231.1024686
2016/3/15,95453,102322.2812,-6684.11925,-185.1619109
2016/3/16,96225,102360.9599,-5727.371716,-408.5881964
2016/3/17,97362,102434.4458,773.1499507,-5845.595754
2016/3/18,113443,102547.6115,11310.72194,-415.3334735
2016/3/19,113912,102728.0916,19044.93891,-7861.030486
2016/3/20,94380,102980.6263,-7903.457051,-697.1692384
2016/3/21,93480,103278.3345,-10119.12767,320.7931297
2016/3/22,96498,103562.0714,-7007.76016,-56.31123099
2016/3/23,103437,103807.9408,-5843.074661,5472.133861
2016/3/24,105714,103985.1206,904.100283,824.779099
2016/3/25,121636,104063.2785,11035.13684,6537.584695
2016/3/26,123793,104025.6001,18480.755,1286.644906
2016/3/27,96118,103857.4507,-7504.580965,-234.869699
2016/3/28,95175,103453.937,-9763.761019,1484.824057
2016/3/29,96372,102777.4323,-7177.964124,772.53184
2016/3/30,97182,101937.625,-5593.19507,837.5700908
2016/3/31,100939,100958.337,476.4273778,-495.7644039
2016/4/1,110200,99935.44736,11136.90898,-872.356341
2016/4/2,103534,99007.01605,17779.53222,-13252.54827
2016/4/3,92252,98198.5065,-7340.868009,1394.361512
2016/4/4,86248,97497.01284,-9306.248047,-1942.764794
2016/4/5,87710,96932.49171,-6820.13338,-2402.358333
2016/4/6,89557,96537.75235,-5113.173185,-1867.579167
2016/4/7,96349,96359.73256,-380.4502626,369.7177055
2016/4/8,108460,96405.8867,11815.95299,238.1603033
2016/4/9,111471,96583.06386,16772.6688,-1884.732657
2016/4/10,89779,96860.72004,-7473.225813,391.5057712
2016/4/11,88401,97132.24166,-9164.950775,433.7091128
2016/4/12,91330,97332.57188,-6494.532026,491.9601412
2016/4/13,93491,97486.58132,-4740.296181,744.7148634
2016/4/14,96093,97614.15503,-921.2480823,-599.9069505
2016/4/15,111195,97682.64426,12513.74471,998.6110281
2016/4/16,113963,97659.45055,16282.47829,21.07116381
2016/4/17,88329,97569.60767,-8191.226297,-1049.381372
2016/4/18,89103,97465.88893,-9193.136919,830.2479924
2016/4/19,91689,97391.76413,-6105.156496,402.3923704
2016/4/20,93102,97355.65219,-4394.904312,141.2521221
2016/4/21,95117,97352.53005,-1167.192074,-1068.337972
2016/4/22,109139,97404.05549,12812.98515,-1078.040634
2016/4/23,114693,97534.41486,16972.65262,185.9325224
2016/4/24,88970,97771.6865,-8798.163341,-3.523158703
2016/4/25,87822,98140.73096,-9662.160785,-656.5701748
2016/4/26,91999,98621.79916,-5872.030373,-750.7687917
2016/4/27,94240,99175.24034,-4232.217918,-703.0224173
2016/4/28,98834,99727.90019,-1305.364823,411.4646323
2016/4/29,113576,100241.727,12922.09173,412.181232
2016/4/30,118853,100759.2528,17440.15901,653.5882115
2016/5/1,99486,101213.223,-8922.068606,7194.845628
2016/5/2,97782,101364.9951,-9711.221353,6128.22628
2016/5/3,96175,101232.3041,-5934.8727,877.5685518
2016/5/4,97977,101019.2347,-4332.7354,1290.500741
2016/5/5,101621,100779.3945,-1637.504481,2479.110018
2016/5/6,121311,100338.16,12190.09349,8782.746504
2016/5/7,116428,99685.11788,18071.72803,-1328.845915
2016/5/8,90085,98999.68712,-8405.815524,-508.8715962
2016/5/9,88041,98388.36162,-9449.795547,-897.5660752
2016/5/10,92086,97972.79655,-6164.360347,277.5637987
2016/5/11,93017,97877.76414,-4449.426717,-411.337419
2016/5/12,94384,97886.3624,-2068.451181,-1433.911221
2016/5/13,115007,97849.58313,11801.74388,5355.672995
2016/5/14,117004,97787.74123,18339.92531,876.3334594
2016/5/15,95127,97748.61872,-7698.2097,5076.590981
2016/5/16,90119,97752.80252,-8969.150909,1335.348389
2016/5/17,90797,97777.04979,-6429.493692,-550.5560938
2016/5/18,92851,97717.64495,-4568.881491,-297.763455
2016/5/19,94563,97539.0551,-2779.204415,-196.8506892
2016/5/20,108114,97326.78452,11180.03842,-392.8229349
2016/5/21,116478,97153.45672,18338.26201,986.2812764
2016/5/22,90401,97055.5507,-6658.990624,4.439926071
2016/5/23,88328,97016.78779,-8662.207539,-26.58025516
2016/5/24,89584,97012.3399,-6327.846093,-1100.493808
2016/5/25,91781,97019.00298,-4344.041001,-893.9619774
2016/5/26,94157,97048.67161,-3118.419,226.7473934
2016/5/27,108125,97124.52909,10188.68893,811.7819843
2016/5/28,114264,97249.50991,17888.06285,-873.5727596
2016/5/29,92254,97397.90836,-6151.811729,1007.903369
2016/5/30,88088,97575.94362,-8712.340403,-775.603222
2016/5/31,91915,97789.53869,-5987.789427,113.2507394
2016/6/1,94614,98071.79876,-3517.156011,59.35725023
2016/6/2,94745,98441.99656,-2841.347935,-855.6486272
2016/6/3,107258,98886.3316,10025.65906,-1653.990658
2016/6/4,116665,99393.72677,16984.7871,286.4861284
2016/6/5,93024,99943.66402,-6608.101785,-311.5622372
2016/6/6,92262,100488.5896,-8961.44842,734.8587949
2016/6/7,96092,100377.2918,-5573.273547,1287.981776
2016/6/8,103172,99063.0498,-2738.16193,6847.112135
2016/6/9,84289,98346.06386,-2184.625601,-11872.43826
2016/6/10,104170,98073.26379,10443.56079,-4346.824577
2016/6/11,102637,97762.67533,15598.15773,-10723.83306
2016/6/12,81620,96849.38461,-7739.876103,-7489.508503
2016/6/13,86035,95416.77845,-8754.884698,-626.8937522
2016/6/14,89531,95995.53591,-5120.37845,-1344.157462
2016/6/15,96156,97256.8717,-2021.947435,921.0757366
2016/6/16,97057,98324.23497,-1220.374571,-46.86039736
2016/6/17,111713,99194.99496,10912.5143,1605.490738
2016/6/18,115488,99915.97907,13982.67938,1589.341547
2016/6/19,92773,100532.2565,-9161.457909,1402.201427
2016/6/20,92339,101014.3727,-8271.605482,-403.767194
2016/6/21,97322,101334.8646,-4732.560116,719.6955029
2016/6/22,99306,101546.1578,-1387.178334,-852.9794726
2016/6/23,102102,101694.1074,345.4402549,62.45230796
2016/6/24,113676,101860.5894,11725.07658,90.33397509
2016/6/25,113142,102078.0785,11064.56011,-0.638585726
2016/6/26,90885,102341.9791,-10421.56104,-1035.418108
2016/6/27,95890,102630.5377,-7467.690463,727.1527905
2016/6/28,98367,102943.7298,-3794.231586,-782.4982442
2016/6/29,102749,103296.386,-1087.038993,539.6530335
2016/6/30,109020,103714.7514,50.34082391,5254.907771
2016/7/1,115452,104172.775,11552.61127,-273.3862992
2016/7/2,109409,104639.7065,11480.75212,-6711.458578
2016/7/3,92681,105106.4721,-11760.03239,-665.4397356
2016/7/4,98525,105566.8294,-6899.403751,-142.4256566
2016/7/5,103589,105887.7419,-3311.06444,1012.322583
2016/7/6,105777,106135.5587,-824.9827767,466.4240989
2016/7/7,90918,106366.5528,443.4508493,-15892.00363
2016/7/8,45239,106507.9723,11367.82215,-72636.79443
2016/7/9,112875,106580.6104,11246.97239,-4952.582831
2016/7/10,93961,106611.5557,-12399.9245,-250.6312376
2016/7/11,100793,106589.3105,-7036.925439,1240.61489
2016/7/12,104053,106519.1427,-3144.645359,678.5026562
2016/7/13,104151,106440.8233,-371.170403,-1918.652941
2016/7/14,106359,106393.9506,568.9338851,-603.8845016
2016/7/15,117749,106410.224,11334.64423,4.131766511
2016/7/16,117303,106522.7916,11247.51592,-467.3075385
2016/7/17,94415,106724.0054,-12320.2917,11.28626618
2016/7/18,99233,106986.0274,-7524.862139,-228.1652769
2016/7/19,102619,107200.0605,-3348.431216,-1232.629331
2016/7/20,109121,107310.2933,-497.9176319,2308.624364
2016/7/21,110028,107380.9245,637.4521443,2009.623349
2016/7/22,118462,107438.4373,11397.03167,-373.4690124
2016/7/23,121111,107448.4942,12065.65764,1596.848154
2016/7/24,94190,107385.2861,-11886.79079,-1308.495267
2016/7/25,98052,107238.3757,-7953.052678,-1233.323013
2016/7/26,104279,107062.6625,-3710.187081,926.5246018
2016/7/27,106500,106910.4888,-676.0424897,265.5536962
2016/7/28,106611,106734.2194,445.5349904,-568.7543767
2016/7/29,118250,106474.1053,11626.16617,149.728517
2016/7/30,118776,106150.527,11742.0172,883.4558125
2016/7/31,96511,105854.8685,-11462.32044,2118.451962
2016/8/1,97613,105628.0695,-7777.960574,-237.1088914
2016/8/2,99879,105454.2678,-3329.351189,-2245.91663
2016/8/3,101104,105308.4976,-1073.348081,-3131.149492
2016/8/4,104577,105207.819,254.1509867,-884.9700102
2016/8/5,117410,105241.1618,11564.24526,604.5929574
2016/8/6,116089,105467.8307,10891.74808,-270.5788215
2016/8/7,94076,105828.4755,-10989.9126,-762.562856
2016/8/8,99039,106185.2198,-7106.479798,-39.73997386
2016/8/9,106491,106474.9079,-3073.060322,3089.152398
2016/8/10,105962,106716.5732,-1108.583577,354.0103994
2016/8/11,107840,106889.0309,258.4028506,692.5662317
2016/8/12,118718,106967.1889,11229.11532,521.695742
2016/8/13,115297,106856.1804,10395.89056,-1955.070937
2016/8/14,96693,106551.7279,-11167.05076,1308.322894
2016/8/15,102306,106170.3421,-6773.896952,2909.554843
2016/8/16,102671,105796.6925,-2663.223552,-462.4689509
2016/8/17,96724,105431.3344,-1038.34845,-7668.98593
2016/8/18,105536,105078.0867,410.8015276,47.11180112
2016/8/19,114394,104724.1863,10844.25847,-1174.444723
2016/8/20,114851,104374.5763,10591.85197,-115.4282436
2016/8/21,92379,104100.4615,-11322.67663,-398.7848495
2016/8/22,96792,103844.6255,-6556.436495,-496.1889717
